window_id,p_divergent,p_convergent,p_incubation,p_conflict,predicted_phase,confidence
0,0.9906119094185598,5.7483531794477005e-06,0.0,0.009382342228260673,divergent,0.9906119094185598
1,0.8517498029250457,0.0017457875357027443,0.0,0.1465044095392516,divergent,0.8517498029250457
2,0.6723646889414184,0.010479556767393854,0.0,0.31715575429118764,divergent,0.6723646889414184
3,0.5000962759536141,0.030241727871664004,0.0007109334422965908,0.4689510627324253,divergent,0.5000962759536141
4,0.3141152074410269,0.07708446292817807,0.0,0.6088003296307951,conflict,0.6088003296307951
5,0.18697811722708924,0.14809117830527693,0.0,0.6649307044676338,conflict,0.6649307044676338
6,0.10810594008385253,0.24597662665939116,0.0,0.6459174332567562,conflict,0.6459174332567562
7,0.04676675212730653,0.4160462934857333,0.0,0.5371869543869603,conflict,0.5371869543869603
8,0.017946298215919518,0.5916144307967478,0.0,0.39043927098733283,convergent,0.5916144307967478
9,0.005078718752100089,0.7600911093348304,0.0,0.2348301719130695,convergent,0.7600911093348304
10,0.00021447143484750613,0.9449030968016007,0.0,0.05488243176355193,convergent,0.9449030968016007
11,1.879713988106646e-07,0.9982803879095116,0.0,0.0017194241190896826,convergent,0.9982803879095116
