window_id,p_divergent,p_convergent,predicted_phase,confidence
0,1.0,0.0,divergent,1.0
1,0.9924714000157301,0.007528599984269968,divergent,0.9924714000157301
2,0.9642651162177177,0.03573488378228222,divergent,0.9642651162177177
3,0.9259920189711679,0.07400798102883205,divergent,0.9259920189711679
4,0.8988978225133686,0.1011021774866314,divergent,0.8988978225133686
5,0.9852213467409715,0.014778653259028546,divergent,0.9852213467409715
6,0.8729805186128707,0.12701948138712932,divergent,0.8729805186128707
7,0.851205016964323,0.14879498303567698,divergent,0.851205016964323
8,0.6564977600514512,0.3435022399485487,divergent,0.6564977600514512
9,0.7790811709407518,0.22091882905924823,divergent,0.7790811709407518
10,0.695493087100584,0.30450691289941595,divergent,0.695493087100584
11,0.7407160545445399,0.2592839454554601,divergent,0.7407160545445399
12,0.5624123381080193,0.4375876618919807,divergent,0.5624123381080193
13,0.245671680551985,0.754328319448015,convergent,0.754328319448015
14,0.42273358533631256,0.5772664146636874,convergent,0.5772664146636874
15,0.2955026184161058,0.7044973815838941,convergent,0.7044973815838941
16,0.3590169931873424,0.6409830068126575,convergent,0.6409830068126575
17,0.2759234239415627,0.7240765760584373,convergent,0.7240765760584373
18,0.20880216954474431,0.7911978304552557,convergent,0.7911978304552557
19,0.18007762846378572,0.8199223715362144,convergent,0.8199223715362144
20,0.18296370522581346,0.8170362947741865,convergent,0.8170362947741865
21,0.1487304757634566,0.8512695242365435,convergent,0.8512695242365435
22,0.0768446032224905,0.9231553967775095,convergent,0.9231553967775095
23,0.04359695443037048,0.9564030455696295,convergent,0.9564030455696295
24,0.025027104457582144,0.9749728955424178,convergent,0.9749728955424178
25,0.5,0.5,divergent,0.5
26,0.0,1.0,convergent,1.0
