window_id,t_start,t_end,num_moves,fore_weight,back_weight,link_density,fore_ratio,back_ratio,dwell_ms,hover_ms,apm_rolling,gap_prev_ms,episode,phase_raw,phase_smooth
0,2025-10-31T02:20:30+00:00,2025-10-31T02:21:00+00:00,2,11.039139338902064,0.0,5.519569669451032,0.9999999094132361,0.0,317.5,62.5,19.35,980.5,TeamX,divergent,divergent
1,2025-10-31T02:21:00+00:00,2025-10-31T02:21:30+00:00,1,10.429984807968138,0.5601526328495571,10.990137440817694,0.9490312487084668,0.050968660300868815,232.0,170.0,21.2,613.0,TeamX,divergent,divergent
2,2025-10-31T02:21:30+00:00,2025-10-31T02:22:00+00:00,1,9.568953548158918,1.2253785473959786,10.794332095554896,0.8864793650011978,0.11352054235759959,199.0,215.0,12.3,809.0,TeamX,divergent,divergent
3,2025-10-31T02:22:00+00:00,2025-10-31T02:22:30+00:00,1,9.103869642530167,1.8197341987064906,10.923603841236657,0.833412575321566,0.16658733313356283,142.0,137.0,24.1,855.0,TeamX,divergent,divergent
4,2025-10-31T02:22:30+00:00,2025-10-31T02:23:00+00:00,1,7.899212053843906,1.937474080494472,9.836686134338377,0.8030358133755174,0.19696408496424014,415.0,200.0,19.9,693.0,TeamX,divergent,divergent
5,2025-10-31T02:23:00+00:00,2025-10-31T02:23:30+00:00,1,0.16279748507908381,0.012618235179356103,0.1754157202584399,0.9280613891266221,0.0719329101625305,314.0,136.0,13.2,1347.0,TeamX,divergent,divergent
6,2025-10-31T02:23:30+00:00,2025-10-31T02:24:00+00:00,2,4.695147991180418,1.3476005281720838,3.021374259676251,0.7769886830727871,0.2230111514396319,450.5,149.0,18.200000000000003,1581.0,TeamX,divergent,divergent
7,2025-10-31T02:24:00+00:00,2025-10-31T02:24:30+00:00,1,8.124927146094185,2.612576007843017,10.737503153937203,0.7566867523040685,0.24331315456441935,228.0,203.0,19.8,1035.0,TeamX,divergent,divergent
8,2025-10-31T02:24:30+00:00,2025-10-31T02:25:00+00:00,1,4.038872616631643,2.6268567017146514,6.665729318346294,0.6059159947583432,0.394083855220586,255.0,83.0,18.3,1749.0,TeamX,divergent,divergent
9,2025-10-31T02:25:00+00:00,2025-10-31T02:25:30+00:00,1,7.168355839593069,3.1293714727674207,10.29772731236049,0.696110406310565,0.30388949658063885,305.0,55.0,12.2,1610.0,TeamX,divergent,divergent
10,2025-10-31T02:25:30+00:00,2025-10-31T02:26:00+00:00,1,7.228679043906075,4.182000943592616,11.41067998749869,0.633501107587327,0.3664988047754846,468.0,172.0,16.2,1388.0,TeamX,divergent,divergent
11,2025-10-31T02:26:00+00:00,2025-10-31T02:26:30+00:00,1,6.567523956298827,3.284035682678222,9.851559638977049,0.6666480770889084,0.33335182140433184,468.0,49.0,21.1,1699.0,TeamX,divergent,divergent
12,2025-10-31T02:26:30+00:00,2025-10-31T02:27:00+00:00,2,10.290448767798287,8.705960512161253,9.49820463997977,0.5417049124620298,0.45829503489644546,258.0,116.0,21.0,1858.5,TeamX,divergent,divergent
13,2025-10-31T02:27:00+00:00,2025-10-31T02:27:30+00:00,1,1.1649216924394874,2.4409557751246855,3.6058774675641727,0.32306182887700324,0.676937893798065,120.0,102.0,12.5,639.0,TeamX,convergent,convergent
14,2025-10-31T02:27:30+00:00,2025-10-31T02:28:00+00:00,1,4.645852259227207,5.717301641191755,10.363153900418961,0.44830481681204876,0.5516950866922404,243.0,40.0,17.6,2098.0,TeamX,convergent,convergent
15,2025-10-31T02:28:00+00:00,2025-10-31T02:28:30+00:00,1,2.3287993158612927,4.139897482735769,6.468696798597062,0.36001052891454677,0.6399893164948337,457.0,160.0,18.1,1142.0,TeamX,convergent,convergent
16,2025-10-31T02:28:30+00:00,2025-10-31T02:29:00+00:00,1,1.6952332428523467,2.4919418948037277,4.187175137656075,0.404863131408968,0.595136629766591,485.0,122.0,16.0,1930.0,TeamX,convergent,convergent
