window_id,t_start,t_end,num_moves,fore_weight,back_weight,link_density,fore_ratio,back_ratio,dwell_ms,hover_ms,apm_rolling,gap_prev_ms,episode,phase_raw,phase_smooth
0,2025-10-31T02:20:30+00:00,2025-10-31T02:21:00+00:00,2,11.613455397742134,0.14482048579624715,5.879137941769191,0.9876834431413163,0.01231647181220883,317.5,62.5,19.35,980.5,TeamX_v3,divergent,divergent
1,2025-10-31T02:21:00+00:00,2025-10-31T02:21:30+00:00,1,10.686678443636211,0.5601526328495571,11.246831076485767,0.9501945410903135,0.04980536999576016,232.0,170.0,21.2,613.0,TeamX_v3,divergent,divergent
2,2025-10-31T02:21:30+00:00,2025-10-31T02:22:00+00:00,1,9.908086878912789,1.388738121305193,11.296825000217982,0.8770682029378521,0.12293170854170864,199.0,215.0,12.3,809.0,TeamX_v3,divergent,divergent
3,2025-10-31T02:22:00+00:00,2025-10-31T02:22:30+00:00,1,9.32483284814017,1.8197341987064906,11.14456704684666,0.8367155020224063,0.16328440824778148,142.0,137.0,24.1,855.0,TeamX_v3,divergent,divergent
4,2025-10-31T02:22:30+00:00,2025-10-31T02:23:00+00:00,1,7.953994716916764,1.937474080494472,9.891468797411235,0.8041266747838081,0.19587322411898198,415.0,200.0,19.9,693.0,TeamX_v3,divergent,divergent
5,2025-10-31T02:23:00+00:00,2025-10-31T02:23:30+00:00,1,1.2637244973863866,0.4412061827523365,1.7049306801387232,0.7412170892874503,0.25878232417878316,314.0,136.0,13.2,1347.0,TeamX_v3,divergent,divergent
6,2025-10-31T02:23:30+00:00,2025-10-31T02:24:00+00:00,2,5.700347389493667,1.667605910982404,3.6839766502380358,0.7736675822114351,0.22633228206568187,450.5,149.0,18.200000000000003,1581.0,TeamX_v3,divergent,divergent
7,2025-10-31T02:24:00+00:00,2025-10-31T02:24:30+00:00,1,8.200583151408603,2.7907531261444087,10.991336277553012,0.7460951242171588,0.25390478480210105,228.0,203.0,19.8,1035.0,TeamX_v3,divergent,divergent
8,2025-10-31T02:24:30+00:00,2025-10-31T02:25:00+00:00,1,4.075591904776436,2.746581077575683,6.82217298235212,0.5974036891054589,0.4025961643137,255.0,83.0,18.3,1749.0,TeamX_v3,divergent,divergent
9,2025-10-31T02:25:00+00:00,2025-10-31T02:25:30+00:00,1,7.167967728206089,3.3798430647168836,10.547810792922974,0.6795691721590462,0.3204307330345599,305.0,55.0,12.2,1610.0,TeamX_v3,divergent,divergent
10,2025-10-31T02:25:30+00:00,2025-10-31T02:26:00+00:00,1,7.369551897048949,4.374861989702497,11.744413886751445,0.627494172175605,0.37250574267753944,468.0,172.0,16.2,1388.0,TeamX_v3,divergent,divergent
11,2025-10-31T02:26:00+00:00,2025-10-31T02:26:30+00:00,1,6.510284423828124,3.5083617823464524,10.018646206174576,0.6498167157553748,0.35018318443075025,468.0,49.0,21.1,1699.0,TeamX_v3,divergent,divergent
12,2025-10-31T02:26:30+00:00,2025-10-31T02:27:00+00:00,2,10.279570681708199,9.060488189969742,9.67002943583897,0.5315170040792818,0.4684829442145701,258.0,116.0,21.0,1858.5,TeamX_v3,divergent,divergent
13,2025-10-31T02:27:00+00:00,2025-10-31T02:27:30+00:00,1,1.108113356998988,2.4793680735996784,3.5874814305986664,0.30888328470895676,0.6911164365440335,120.0,102.0,12.5,639.0,TeamX_v3,convergent,convergent
14,2025-10-31T02:27:30+00:00,2025-10-31T02:28:00+00:00,1,3.810324737003871,4.895348480769566,8.705673217773438,0.4376828998752034,0.5623169852571855,243.0,40.0,17.6,2098.0,TeamX_v3,convergent,convergent
15,2025-10-31T02:28:00+00:00,2025-10-31T02:28:30+00:00,1,2.2276381424495146,3.9906646524156835,6.218302794865198,0.35823887284005007,0.6417609663443911,457.0,160.0,18.1,1142.0,TeamX_v3,convergent,convergent
16,2025-10-31T02:28:30+00:00,2025-10-31T02:29:00+00:00,1,1.7423905645098,2.570923600878033,4.313314165387833,0.4039562373024815,0.5960435308572838,485.0,122.0,16.0,1930.0,TeamX_v3,convergent,convergent
17,2025-10-31T02:29:00+00:00,2025-10-31T02:29:30+00:00,2,3.17648959159851,5.884711503982542,4.530600547790526,0.3505594023940393,0.6494404872453278,236.0,67.0,18.2,1274.5,TeamX_v3,convergent,convergent
18,2025-10-31T02:29:30+00:00,2025-10-31T02:30:00+00:00,1,2.6186572483607695,6.34561446734837,8.96427171570914,0.2921215508952323,0.7078783375508211,490.0,167.0,21.6,1097.0,TeamX_v3,convergent,convergent
19,2025-10-31T02:30:00+00:00,2025-10-31T02:30:30+00:00,1,2.620367288589477,7.030157838548932,9.650525127138408,0.2715258478209492,0.7284740485577574,457.0,110.0,17.3,1441.0,TeamX_v3,convergent,convergent
20,2025-10-31T02:30:30+00:00,2025-10-31T02:31:00+00:00,1,2.0839446272168836,5.563239642551966,7.647184269768849,0.2725113298163724,0.7274885394165591,151.0,206.0,14.4,823.0,TeamX_v3,convergent,convergent
21,2025-10-31T02:31:00+00:00,2025-10-31T02:31:30+00:00,1,2.4702190671648294,7.1678050586155475,9.638024125780376,0.2562992973070113,0.7437005989372933,213.0,138.0,17.0,754.0,TeamX_v3,convergent,convergent
22,2025-10-31T02:31:30+00:00,2025-10-31T02:32:00+00:00,1,1.6746447767530166,7.71450706890651,9.389151845659526,0.17835951808231362,0.821640375411805,453.0,234.0,23.5,791.0,TeamX_v3,convergent,convergent
23,2025-10-31T02:32:00+00:00,2025-10-31T02:32:30+00:00,2,2.1737454959324425,13.977539300918577,8.07564239842551,0.13458652910198968,0.865413408983435,351.0,164.5,18.4,1446.0,TeamX_v3,convergent,convergent
24,2025-10-31T02:32:30+00:00,2025-10-31T02:33:00+00:00,1,1.0979070322854176,9.436542102268763,10.534449134554182,0.10422063024287895,0.8957792748304768,416.0,158.0,15.2,2131.0,TeamX_v3,convergent,convergent
25,2025-10-31T02:33:00+00:00,2025-10-31T02:33:30+00:00,1,0.39901420048304964,4.421031372887747,4.8200455733707965,0.08278222926049604,0.9172175632726288,200.0,150.0,11.9,980.0,TeamX_v3,convergent,convergent
26,2025-10-31T02:33:30+00:00,2025-10-31T02:34:00+00:00,1,0.0,11.960052081516809,11.960052081516809,0.0,0.999999916388331,411.0,168.0,19.4,681.0,TeamX_v3,convergent,convergent
