window_id,p_divergent,p_convergent,predicted_phase,confidence
0,1.0,0.0,divergent,1.0
1,0.9909887609168933,0.009011239083106814,divergent,0.9909887609168933
2,0.9310608453678983,0.06893915463210155,divergent,0.9310608453678983
3,0.9016865785818162,0.09831342141818379,divergent,0.9016865785818162
4,0.7897904891879006,0.21020951081209938,divergent,0.7897904891879006
5,0.5,0.5,divergent,0.5
6,0.6846591448995893,0.31534085510041077,divergent,0.6846591448995893
7,0.5,0.5,divergent,0.5
8,0.4333781189468919,0.5666218810531082,convergent,0.5666218810531082
9,0.5,0.5,divergent,0.5
10,0.38092646832191407,0.619073531678086,convergent,0.619073531678086
11,0.5,0.5,divergent,0.5
12,0.18912248460703884,0.8108775153929612,convergent,0.8108775153929612
13,0.2716825795366152,0.7283174204633848,convergent,0.7283174204633848
14,0.1630994242983151,0.836900575701685,convergent,0.836900575701685
15,0.05683434094087034,0.9431656590591296,convergent,0.9431656590591296
16,0.024120216633404978,0.975879783366595,convergent,0.975879783366595
17,0.0189674364138518,0.9810325635861482,convergent,0.9810325635861482
18,0.0,1.0,convergent,1.0
19,0.5,0.5,divergent,0.5
