window_id,t_start,t_end,num_moves,fore_weight,back_weight,link_density,fore_ratio,back_ratio,dwell_ms,hover_ms,apm_rolling,gap_prev_ms,episode,phase_raw,phase_smooth
0,2025-10-31T02:20:25+00:00,2025-10-31T02:20:55+00:00,2,15.460949724370781,0.4058730385520241,7.9334113814614025,0.97441995672124,0.025579980254174,295.0,126.0,25.65,1050.0,TeamX,divergent,divergent
1,2025-10-31T02:20:55+00:00,2025-10-31T02:21:25+00:00,1,10.999997138977049,0.7331554022702302,11.733152541247279,0.9375141218690392,0.062485792902382244,256.0,88.0,27.7,1100.0,TeamX,divergent,divergent
2,2025-10-31T02:21:25+00:00,2025-10-31T02:21:55+00:00,1,7.236522609537297,1.3171731775457207,8.553695787083019,0.8460111212341789,0.15398876185730487,342.0,63.0,25.3,1300.0,TeamX,incubation,divergent
3,2025-10-31T02:21:55+00:00,2025-10-31T02:22:25+00:00,2,17.3698614727367,4.252602967348965,10.811232220042832,0.8033247420775105,0.19667521167429447,194.0,104.0,32.9,950.0,TeamX,divergent,incubation
4,2025-10-31T02:22:25+00:00,2025-10-31T02:22:55+00:00,1,7.629022945057261,2.261935450813987,9.890958395871248,0.7713127351672094,0.22868716373036366,322.0,72.0,20.8,1400.0,TeamX,incubation,divergent
5,2025-10-31T02:22:55+00:00,2025-10-31T02:23:25+00:00,1,5.47605258768255,1.8703254352916368,7.346378022974187,0.7454083937892938,0.25459147008922417,280.0,101.0,26.9,1000.0,TeamX,divergent,divergent
6,2025-10-31T02:23:25+00:00,2025-10-31T02:23:55+00:00,1,5.4842985326593565,2.1142153739929195,7.5985139066522756,0.7217592648081818,0.2782406035871544,188.0,124.0,28.5,900.0,TeamX,divergent,divergent
7,2025-10-31T02:23:55+00:00,2025-10-31T02:24:25+00:00,1,7.60314917564392,3.7529453581029713,11.35609453374689,0.6695214172027396,0.3304784947388255,230.0,66.0,19.2,1200.0,TeamX,incubation,divergent
8,2025-10-31T02:24:25+00:00,2025-10-31T02:24:55+00:00,1,6.455514539371836,3.866526863791725,10.322041403163562,0.6254105812812115,0.374589321838737,170.0,90.0,33.0,1100.0,TeamX,divergent,incubation
9,2025-10-31T02:24:55+00:00,2025-10-31T02:25:25+00:00,2,12.002872835506091,9.792054067958484,10.897463451732287,0.5507186299798719,0.4492813241378933,273.0,118.0,27.65,1100.0,TeamX,conflict,conflict
10,2025-10-31T02:25:25+00:00,2025-10-31T02:25:55+00:00,1,5.108538280833851,4.427249041470613,9.535787322304465,0.535722701487075,0.4642771936448253,245.0,84.0,21.9,900.0,TeamX,conflict,conflict
11,2025-10-31T02:25:55+00:00,2025-10-31T02:26:25+00:00,1,4.673868721181695,5.520686908201737,10.194555629383434,0.4584670909287372,0.5415328109796992,192.0,131.0,23.5,800.0,TeamX,conflict,conflict
12,2025-10-31T02:26:25+00:00,2025-10-31T02:26:55+00:00,2,9.007306337356566,14.735962455922905,11.871634396639735,0.3793625063345775,0.6206374515482244,237.5,79.0,26.85,1200.0,TeamX,incubation,incubation
13,2025-10-31T02:26:55+00:00,2025-10-31T02:27:25+00:00,1,3.2021831815892994,7.70654424754056,10.90872742912986,0.2935432119694562,0.7064566963608312,228.0,120.0,29.1,900.0,TeamX,convergent,incubation
14,2025-10-31T02:27:25+00:00,2025-10-31T02:27:55+00:00,1,2.389867370778864,5.190151539715853,7.580018910494717,0.31528510465652415,0.6847147634177009,310.0,80.0,20.5,1200.0,TeamX,incubation,convergent
15,2025-10-31T02:27:55+00:00,2025-10-31T02:28:25+00:00,2,4.0516600608825675,13.33506987311623,8.693364966999399,0.23303173415767128,0.7669682083272039,186.0,109.0,28.4,950.0,TeamX,convergent,convergent
16,2025-10-31T02:28:25+00:00,2025-10-31T02:28:55+00:00,1,1.389770529486916,7.546636061234906,8.936406590721823,0.1555178090723881,0.8444820790258225,210.0,130.0,28.2,900.0,TeamX,convergent,convergent
17,2025-10-31T02:28:55+00:00,2025-10-31T02:29:25+00:00,1,1.2275494662198152,8.993793682618573,10.221343148838388,0.12009667694823885,0.8799032252172705,190.0,74.0,26.1,1100.0,TeamX,convergent,convergent
18,2025-10-31T02:29:25+00:00,2025-10-31T02:29:55+00:00,1,0.782994205301458,9.28889874978499,10.071892955086447,0.0777405132334654,0.9222593874803424,310.0,70.0,22.9,1200.0,TeamX,incubation,convergent
19,2025-10-31T02:29:55+00:00,2025-10-31T02:30:25+00:00,2,0.5259783484719016,20.966158368370746,10.746068358421324,0.02447305872508487,0.9755268947462722,290.0,100.0,25.25,950.0,TeamX,convergent,incubation
