window_id,t_start,t_end,num_moves,fore_weight,back_weight,link_density,fore_ratio,back_ratio,dwell_ms,hover_ms,apm_rolling,gap_prev_ms,episode,phase_raw,phase_smooth
0,2025-10-31T02:20:25+00:00,2025-10-31T02:20:55+00:00,2,12.107044696807861,0.34646034240722656,6.226752519607544,0.9721796142133591,0.02782030548796868,295.0,126.0,25.65,1050.0,TeamX,divergent,divergent
1,2025-10-31T02:20:55+00:00,2025-10-31T02:21:25+00:00,1,9.799996852874756,0.6064709424972534,10.40646779537201,0.941721639258942,0.05827826464698234,256.0,88.0,27.7,1100.0,TeamX,divergent,divergent
2,2025-10-31T02:21:25+00:00,2025-10-31T02:21:55+00:00,1,5.760174870491028,1.148890495300293,6.909065365791321,0.8337124823422207,0.16628737292042298,342.0,63.0,25.3,1300.0,TeamX,divergent,divergent
3,2025-10-31T02:21:55+00:00,2025-10-31T02:22:25+00:00,2,15.006847620010376,3.7778632640838623,9.39235544204712,0.7988862279392888,0.2011137188259315,194.0,104.0,32.9,950.0,TeamX,divergent,divergent
4,2025-10-31T02:22:25+00:00,2025-10-31T02:22:55+00:00,1,6.491925239562988,1.8881289958953857,8.380054235458374,0.7746876431188454,0.225312237550199,322.0,72.0,20.8,1400.0,TeamX,divergent,divergent
5,2025-10-31T02:22:55+00:00,2025-10-31T02:23:25+00:00,1,4.223657846450806,1.3573579788208008,5.5810158252716064,0.7567900220844177,0.24320979873676396,280.0,101.0,26.9,1000.0,TeamX,divergent,divergent
6,2025-10-31T02:23:25+00:00,2025-10-31T02:23:55+00:00,1,4.332728385925293,1.525636911392212,5.858365297317505,0.7395796312547428,0.2604201980492049,188.0,124.0,28.5,900.0,TeamX,divergent,divergent
7,2025-10-31T02:23:55+00:00,2025-10-31T02:24:25+00:00,1,6.763464093208313,3.228239893913269,9.991703987121582,0.676907905300028,0.3230919946169531,230.0,66.0,19.2,1200.0,TeamX,divergent,divergent
8,2025-10-31T02:24:25+00:00,2025-10-31T02:24:55+00:00,1,5.601065993309021,3.2531795501708984,8.85424554347992,0.6325852759807697,0.36741461107907275,170.0,90.0,33.0,1100.0,TeamX,divergent,divergent
9,2025-10-31T02:24:55+00:00,2025-10-31T02:25:25+00:00,2,10.503160119056702,8.471259474754333,9.487209796905518,0.5535431275557663,0.4464568197417021,273.0,118.0,27.65,1100.0,TeamX,divergent,divergent
10,2025-10-31T02:25:25+00:00,2025-10-31T02:25:55+00:00,1,4.419392108917236,3.569973945617676,7.989366054534912,0.5531592276022301,0.446840647231409,245.0,84.0,21.9,900.0,TeamX,divergent,divergent
11,2025-10-31T02:25:55+00:00,2025-10-31T02:26:25+00:00,1,4.041255593299866,4.672755599021912,8.714011192321777,0.46376519840777347,0.5362346868345262,192.0,131.0,23.5,800.0,TeamX,convergent,convergent
12,2025-10-31T02:26:25+00:00,2025-10-31T02:26:55+00:00,2,8.008036971092224,13.109558701515198,10.558797836303711,0.3792115691592787,0.6207883834868478,237.5,79.0,26.85,1200.0,TeamX,convergent,convergent
13,2025-10-31T02:26:55+00:00,2025-10-31T02:27:25+00:00,1,2.72240149974823,6.777198672294617,9.499600172042847,0.28658061011658137,0.7134192846158415,228.0,120.0,29.1,900.0,TeamX,convergent,convergent
14,2025-10-31T02:27:25+00:00,2025-10-31T02:27:55+00:00,1,1.9288541078567505,3.909166693687439,5.8380208015441895,0.3303951532600577,0.6696046754490438,310.0,80.0,20.5,1200.0,TeamX,convergent,convergent
15,2025-10-31T02:27:55+00:00,2025-10-31T02:28:25+00:00,2,3.356826066970825,10.768576860427856,7.062701463699341,0.23764460713648525,0.7623553220690791,186.0,109.0,28.4,950.0,TeamX,convergent,convergent
16,2025-10-31T02:28:25+00:00,2025-10-31T02:28:55+00:00,1,1.128747582435608,6.201299667358398,7.330047249794006,0.15398910675210475,0.8460107568231452,210.0,130.0,28.2,900.0,TeamX,convergent,convergent
17,2025-10-31T02:28:55+00:00,2025-10-31T02:29:25+00:00,1,1.0503044128417969,7.693173050880432,8.743477463722229,0.12012432090953727,0.8798755647195058,190.0,74.0,26.1,1100.0,TeamX,convergent,convergent
18,2025-10-31T02:29:25+00:00,2025-10-31T02:29:55+00:00,1,0.661293625831604,7.917788624763489,8.579082250595093,0.07708208517334682,0.9229177982640824,310.0,70.0,22.9,1200.0,TeamX,convergent,convergent
19,2025-10-31T02:29:55+00:00,2025-10-31T02:30:25+00:00,2,0.4785761833190918,18.162774205207825,9.320675194263458,0.0256728266821706,0.9743271196736498,290.0,100.0,25.25,950.0,TeamX,convergent,convergent
