window_id,p_divergent,p_convergent,p_incubation,p_conflict,predicted_phase,confidence
0,0.9833054161016973,1.8482631070432538e-05,0.0,0.016676101267232225,divergent,0.9833054161016973
1,0.9835054717475106,1.8034873359667156e-05,0.0,0.016476493379129698,divergent,0.9835054717475106
2,0.6083147661114123,0.0161715129470651,0.0,0.3755137209415225,divergent,0.6083147661114123
3,0.6345317621704062,0.013638241302383412,0.0,0.3518299965272103,divergent,0.6345317621704062
4,0.6805664560259295,0.009866265215310156,0.0,0.3095672787587605,divergent,0.6805664560259295
5,0.8236408812354712,0.0025523831633018474,0.0,0.17380673560122706,divergent,0.8236408812354712
6,0.7248112820031906,0.00695708785338568,0.0,0.26823163014342377,divergent,0.7248112820031906
7,0.4967673540707568,0.030565892818820016,0.0032816024550623617,0.46938515065536085,divergent,0.4967673540707568
8,0.4065156758028872,0.04903939373139661,0.0,0.5444449304657161,conflict,0.5444449304657161
9,0.24047737350584358,0.11118930002903503,0.0,0.6483333264651214,conflict,0.6483333264651214
10,0.3236072899676934,0.07359717283742072,0.0,0.602795537194886,conflict,0.602795537194886
11,0.14216357302420418,0.19426748057463072,0.0,0.6635689464011651,conflict,0.6635689464011651
12,0.07283846226590589,0.3257339539974617,0.0,0.6014275837366325,conflict,0.6014275837366325
13,0.021307900475835206,0.5629710957852369,0.0,0.41572100373892795,convergent,0.5629710957852369
14,0.12628300811727847,0.21608295376119752,0.0,0.657634038121524,conflict,0.657634038121524
15,0.019973151743207983,0.5739232833425629,0.0,0.40610356491422916,convergent,0.5739232833425629
16,0.002721030438283996,0.8184501243803016,0.0,0.17882884518141431,convergent,0.8184501243803016
17,0.0014604672074914136,0.8634669068706418,0.0,0.13507262592186686,convergent,0.8634669068706418
18,0.0002238486424094494,0.9437572164927229,0.0,0.056018934864867656,convergent,0.9437572164927229
19,8.007331342092606e-06,0.9889426298312018,0.0,0.01104936283745621,convergent,0.9889426298312018
