window_id,t_start,t_end,num_moves,fore_weight,back_weight,link_density,fore_ratio,back_ratio,dwell_ms,hover_ms,apm_rolling,gap_prev_ms,episode,phase_raw,phase_smooth
0,2025-10-31T02:20:30+00:00,2025-10-31T02:21:00+00:00,2,20.258395314216614,0.2734616994857788,10.265928506851196,0.9866810544226792,0.013318896872522596,317.5,62.5,19.35,980.5,TeamX,divergent,divergent
1,2025-10-31T02:21:00+00:00,2025-10-31T02:21:30+00:00,1,15.965954422950745,0.8227061033248901,16.788660526275635,0.9509962660193436,0.049003674416646464,232.0,170.0,21.2,613.0,TeamX,divergent,divergent
2,2025-10-31T02:21:30+00:00,2025-10-31T02:22:00+00:00,1,15.07050085067749,1.7306500673294067,16.801150918006897,0.896992118410967,0.1030078220693044,199.0,215.0,12.3,809.0,TeamX,divergent,divergent
3,2025-10-31T02:22:00+00:00,2025-10-31T02:22:30+00:00,1,14.394489645957947,2.297179102897644,16.69166874885559,0.8623756557935048,0.13762428429637139,142.0,137.0,24.1,855.0,TeamX,divergent,divergent
4,2025-10-31T02:22:30+00:00,2025-10-31T02:23:00+00:00,1,13.203112602233887,2.6129873991012573,15.816100001335144,0.8347893454347138,0.16521059133857816,415.0,200.0,19.9,693.0,TeamX,divergent,divergent
5,2025-10-31T02:23:00+00:00,2025-10-31T02:23:30+00:00,1,5.893853187561035,1.3725786209106445,7.26643180847168,0.8111068171840243,0.18889304519686786,314.0,136.0,13.2,1347.0,TeamX,divergent,divergent
6,2025-10-31T02:23:30+00:00,2025-10-31T02:24:00+00:00,2,16.27506673336029,4.700185179710388,10.48762595653534,0.7759175443943525,0.22408240793041778,450.5,149.0,18.200000000000003,1581.0,TeamX,divergent,divergent
7,2025-10-31T02:24:00+00:00,2025-10-31T02:24:30+00:00,1,12.28744900226593,4.262785196304321,16.55023419857025,0.7424334974603517,0.25756644211754626,228.0,203.0,19.8,1035.0,TeamX,divergent,divergent
8,2025-10-31T02:24:30+00:00,2025-10-31T02:25:00+00:00,1,9.02658236026764,4.5327537059783936,13.559336066246033,0.6657097110402236,0.33429021520985824,255.0,83.0,18.3,1749.0,TeamX,divergent,divergent
9,2025-10-31T02:25:00+00:00,2025-10-31T02:25:30+00:00,1,11.017849087715149,5.262975335121155,16.280824422836304,0.6767377452657258,0.3232621933123268,305.0,55.0,12.2,1610.0,TeamX,divergent,divergent
10,2025-10-31T02:25:30+00:00,2025-10-31T02:26:00+00:00,1,10.760075330734253,6.34854781627655,17.108623147010803,0.6289269808182816,0.3710729607316647,468.0,172.0,16.2,1388.0,TeamX,divergent,divergent
11,2025-10-31T02:26:00+00:00,2025-10-31T02:26:30+00:00,1,9.99726676940918,6.052769660949707,16.050036430358887,0.6228812121334495,0.37711872556139975,468.0,49.0,21.1,1699.0,TeamX,divergent,divergent
12,2025-10-31T02:26:30+00:00,2025-10-31T02:27:00+00:00,2,17.079099655151367,14.31302261352539,15.696061134338379,0.5440568485596191,0.4559431195852562,258.0,116.0,21.0,1858.5,TeamX,divergent,divergent
13,2025-10-31T02:27:00+00:00,2025-10-31T02:27:30+00:00,1,5.038691282272339,6.049465179443359,11.088156461715698,0.4544209711730311,0.5455789386406595,120.0,102.0,12.5,639.0,TeamX,convergent,convergent
14,2025-10-31T02:27:30+00:00,2025-10-31T02:28:00+00:00,1,7.452096581459045,8.97685158252716,16.428948163986206,0.45359544953701225,0.546404489594822,243.0,40.0,17.6,2098.0,TeamX,convergent,convergent
15,2025-10-31T02:28:00+00:00,2025-10-31T02:28:30+00:00,1,5.489520907402039,7.994991064071655,13.484511971473694,0.40709819620590276,0.5929017296349488,457.0,160.0,18.1,1142.0,TeamX,convergent,convergent
16,2025-10-31T02:28:30+00:00,2025-10-31T02:29:00+00:00,1,4.710254907608032,7.083035707473755,11.793290615081787,0.39940120717309735,0.600598708032934,485.0,122.0,16.0,1930.0,TeamX,convergent,convergent
17,2025-10-31T02:29:00+00:00,2025-10-31T02:29:30+00:00,2,8.259500503540039,15.07882034778595,11.669160425662994,0.35390293081722873,0.646097026334789,236.0,67.0,18.2,1274.5,TeamX,convergent,convergent
18,2025-10-31T02:29:30+00:00,2025-10-31T02:30:00+00:00,1,4.513294577598572,10.742297053337097,15.255591630935669,0.29584524749608226,0.7041546869541864,490.0,167.0,21.6,1097.0,TeamX,convergent,convergent
19,2025-10-31T02:30:00+00:00,2025-10-31T02:30:30+00:00,1,4.189950704574585,11.556519627571106,15.746470332145691,0.2660882312103154,0.7339117052833931,457.0,110.0,17.3,1441.0,TeamX,convergent,convergent
