window_id,p_divergent,p_convergent,predicted_phase,confidence
0,0.9956832418865489,0.004316758113451143,divergent,0.9956832418865489
1,0.9957360552905707,0.004263944709429253,divergent,0.9957360552905707
2,0.8598110094313526,0.14018899056864742,divergent,0.8598110094313526
3,0.8721389884297038,0.12786101157029617,divergent,0.8721389884297038
4,0.8925351919401564,0.10746480805984364,divergent,0.8925351919401564
5,0.9472678044803285,0.05273219551967147,divergent,0.9472678044803285
6,0.9107702757954045,0.0892297242045955,divergent,0.9107702757954045
7,0.8012489572901744,0.1987510427098255,divergent,0.8012489572901744
8,0.7422123974914431,0.2577876025085569,divergent,0.7422123974914431
9,0.5952461590782971,0.40475384092170286,divergent,0.5952461590782971
10,0.6770969163592283,0.3229030836407717,divergent,0.6770969163592283
11,0.46104688208611894,0.538953117913881,convergent,0.538953117913881
12,0.321057011252087,0.6789429887479129,convergent,0.6789429887479129
13,0.1628634017765294,0.8371365982234706,convergent,0.8371365982234706
14,0.43325854220662013,0.5667414577933799,convergent,0.5667414577933799
15,0.157220824710095,0.842779175289905,convergent,0.842779175289905
16,0.05451604332175156,0.9454839566782485,convergent,0.9454839566782485
17,0.03950200721573884,0.9604979927842612,convergent,0.9604979927842612
18,0.015167321845792685,0.9848326781542074,convergent,0.9848326781542074
19,0.002837420538201755,0.9971625794617982,convergent,0.9971625794617982
