window_id,t_start,t_end,num_moves,fore_weight,back_weight,link_density,fore_ratio,back_ratio,dwell_ms,hover_ms,apm_rolling,gap_prev_ms,episode
0,2025-04-16T23:46:16.753000+00:00,2025-04-16T23:46:46.753000+00:00,1,1.1257736957990208,0.0,1.1257736957990208,0.9999991117227953,0.0,210.0,88.0,41.2,0.0,TeamD_15min_augmented
1,2025-04-16T23:46:46.753000+00:00,2025-04-16T23:47:16.753000+00:00,1,1.2629837072812595,0.0,1.2629837072812595,0.9999992082247757,0.0,330.0,60.0,43.0,45000.0,TeamD_15min_augmented
3,2025-04-16T23:47:46.753000+00:00,2025-04-16T23:48:16.753000+00:00,1,1.4447277142451362,0.04304385185241703,1.4877715660975532,0.97106758597833,0.028931741875925034,190.0,75.0,40.8,45000.0,TeamD_15min_augmented
4,2025-04-16T23:48:16.753000+00:00,2025-04-16T23:48:46.753000+00:00,1,0.7586165116383481,0.8881389361161453,1.6467554477544932,0.46067316917009365,0.5393262235755664,270.0,90.0,42.3,45000.0,TeamD_15min_augmented
6,2025-04-16T23:49:16.753000+00:00,2025-04-16T23:49:46.753000+00:00,1,0.0,0.7858554950127234,0.7858554950127234,0.0,0.9999987275030411,190.0,40.0,41.5,45000.0,TeamD_15min_augmented
7,2025-04-16T23:49:46.753000+00:00,2025-04-16T23:50:16.753000+00:00,1,0.30012997297140287,0.8645718647883489,1.1647018377597518,0.2576880241390053,0.7423111172728918,180.0,55.0,39.6,45000.0,TeamD_15min_augmented
9,2025-04-16T23:50:46.753000+00:00,2025-04-16T23:51:16.753000+00:00,1,1.4191812368539667,0.0,1.4191812368539667,0.9999992953688582,0.0,310.0,110.0,33.8,45000.0,TeamD_15min_augmented
10,2025-04-16T23:51:16.753000+00:00,2025-04-16T23:51:46.753000+00:00,1,1.6851582985657914,0.30730361204880935,1.9924619106146007,0.8457664579793773,0.1542330401292226,225.0,84.0,34.2,45000.0,TeamD_15min_augmented
12,2025-04-16T23:52:16.753000+00:00,2025-04-16T23:52:46.753000+00:00,1,0.19081632907573995,0.0,0.19081632907573995,0.9999947593858228,0.0,180.0,40.0,32.9,45000.0,TeamD_15min_augmented
13,2025-04-16T23:52:46.753000+00:00,2025-04-16T23:53:16.753000+00:00,1,1.89769249695998,0.6017754536408646,2.4994679506008444,0.7592382759961054,0.24076132391890864,260.0,70.0,33.7,45000.0,TeamD_15min_augmented
15,2025-04-16T23:53:46.753000+00:00,2025-04-16T23:54:16.753000+00:00,1,0.8081018191117507,0.9693516401144175,1.7774534592261682,0.45463995711235583,0.5453594802853257,210.0,60.0,34.5,45000.0,TeamD_15min_augmented
16,2025-04-16T23:54:16.753000+00:00,2025-04-16T23:54:46.753000+00:00,1,1.550332968051617,0.6401964334341198,2.190529401485737,0.7077431872208195,0.2922563562687392,240.0,65.0,32.0,45000.0,TeamD_15min_augmented
18,2025-04-16T23:55:16.753000+00:00,2025-04-16T23:55:46.753000+00:00,1,0.8180537682313187,1.3596339409167952,2.177687709148114,0.37565229814289275,0.6243472426546528,210.0,70.0,24.6,45000.0,TeamD_15min_augmented
19,2025-04-16T23:55:46.753000+00:00,2025-04-16T23:56:16.753000+00:00,1,0.9722148271707389,1.545694131117601,2.5179089582883396,0.3861197752407496,0.6138798276044607,300.0,95.0,25.1,45000.0,TeamD_15min_augmented
21,2025-04-16T23:56:46.753000+00:00,2025-04-16T23:57:16.753000+00:00,1,0.8851842513451209,0.7468390923279984,1.6320233436731193,0.5423842204172512,0.4576151668467906,180.0,55.0,23.4,45000.0,TeamD_15min_augmented
22,2025-04-16T23:57:16.753000+00:00,2025-04-16T23:57:46.753000+00:00,1,0.020350392048175552,0.778577125989474,0.7989275180376496,0.025472106188124,0.97452664213544,210.0,80.0,24.0,45000.0,TeamD_15min_augmented
24,2025-04-16T23:58:16.753000+00:00,2025-04-16T23:58:46.753000+00:00,1,0.5887375244727503,0.8757987572596624,1.4645362817324128,0.40199558714977063,0.5980037300407083,250.0,60.0,23.1,45000.0,TeamD_15min_augmented
25,2025-04-16T23:58:46.753000+00:00,2025-04-16T23:59:16.753000+00:00,1,0.0,0.5188532700905434,0.5188532700905434,0.0,0.9999980726765536,230.0,52.0,22.5,45000.0,TeamD_15min_augmented
27,2025-04-16T23:59:46.753000+00:00,2025-04-17T00:00:16.753000+00:00,1,0.0,0.41927019449380737,0.41927019449380737,0.0,0.9999976149088868,200.0,78.0,22.0,45000.0,TeamD_15min_augmented
28,2025-04-17T00:00:16.753000+00:00,2025-04-17T00:00:46.753000+00:00,1,0.0,2.40427407851586,2.40427407851586,0.0,0.9999995840742147,260.0,66.0,21.6,45000.0,TeamD_15min_augmented
