window_id,t_start,t_end,num_moves,fore_weight,back_weight,link_density,fore_ratio,back_ratio,dwell_ms,hover_ms,apm_rolling,gap_prev_ms,episode,phase_raw,phase_smooth
0,2025-04-16T23:46:16.753000+00:00,2025-04-16T23:46:46.753000+00:00,1,0.9387664153025702,0.0,0.9387664153025702,0.9999989347734234,0.0,210.0,88.0,41.2,0.0,TeamD_15min_augmented,divergent,incubation
1,2025-04-16T23:46:46.753000+00:00,2025-04-16T23:47:16.753000+00:00,1,1.2253396144280069,0.0,1.2253396144280069,0.9999991839003881,0.0,330.0,60.0,43.0,45000.0,TeamD_15min_augmented,incubation,incubation
3,2025-04-16T23:47:46.753000+00:00,2025-04-16T23:48:16.753000+00:00,1,1.0937767579005317,0.04304385185241703,1.1368206097529487,0.9621357902742794,0.03786333008023239,190.0,75.0,40.8,45000.0,TeamD_15min_augmented,incubation,incubation
4,2025-04-16T23:48:16.753000+00:00,2025-04-16T23:48:46.753000+00:00,1,0.7586165116383481,0.8881389361161453,1.6467554477544932,0.46067316917009365,0.5393262235755664,270.0,90.0,42.3,45000.0,TeamD_15min_augmented,incubation,incubation
6,2025-04-16T23:49:16.753000+00:00,2025-04-16T23:49:46.753000+00:00,1,0.0,0.6026980326725887,0.6026980326725887,0.0,0.9999983407970715,190.0,40.0,41.5,45000.0,TeamD_15min_augmented,incubation,incubation
7,2025-04-16T23:49:46.753000+00:00,2025-04-16T23:50:16.753000+00:00,1,0.29804153625781726,0.47212699743417597,0.7701685336919932,0.3869817270349339,0.6130169745496442,180.0,55.0,39.6,45000.0,TeamD_15min_augmented,incubation,incubation
9,2025-04-16T23:50:46.753000+00:00,2025-04-16T23:51:16.753000+00:00,1,1.4191812368539667,0.0,1.4191812368539667,0.9999992953688582,0.0,310.0,110.0,33.8,45000.0,TeamD_15min_augmented,incubation,incubation
10,2025-04-16T23:51:16.753000+00:00,2025-04-16T23:51:46.753000+00:00,1,1.6851582985657914,0.30730361204880935,1.9924619106146007,0.8457664579793773,0.1542330401292226,225.0,84.0,34.2,45000.0,TeamD_15min_augmented,incubation,incubation
12,2025-04-16T23:52:16.753000+00:00,2025-04-16T23:52:46.753000+00:00,1,0.19081632907573995,0.0,0.19081632907573995,0.9999947593858228,0.0,180.0,40.0,32.9,45000.0,TeamD_15min_augmented,incubation,incubation
13,2025-04-16T23:52:46.753000+00:00,2025-04-16T23:53:16.753000+00:00,1,1.89769249695998,0.5839075950475842,2.481600092007564,0.7647048927693636,0.2352947042649852,260.0,70.0,33.7,45000.0,TeamD_15min_augmented,incubation,incubation
15,2025-04-16T23:53:46.753000+00:00,2025-04-16T23:54:16.753000+00:00,1,0.8081018191117507,0.9693516401144175,1.7774534592261682,0.45463995711235583,0.5453594802853257,210.0,60.0,34.5,45000.0,TeamD_15min_augmented,incubation,incubation
16,2025-04-16T23:54:16.753000+00:00,2025-04-16T23:54:46.753000+00:00,1,1.550332968051617,0.5737741176898664,2.124107085741483,0.7298748017855348,0.27012472742862964,240.0,65.0,32.0,45000.0,TeamD_15min_augmented,incubation,incubation
18,2025-04-16T23:55:16.753000+00:00,2025-04-16T23:55:46.753000+00:00,1,0.8180537682313187,1.3596339409167952,2.177687709148114,0.37565229814289275,0.6243472426546528,210.0,70.0,24.6,45000.0,TeamD_15min_augmented,incubation,incubation
19,2025-04-16T23:55:46.753000+00:00,2025-04-16T23:56:16.753000+00:00,1,0.9722148271707389,1.545694131117601,2.5179089582883396,0.3861197752407496,0.6138798276044607,300.0,95.0,25.1,45000.0,TeamD_15min_augmented,incubation,incubation
21,2025-04-16T23:56:46.753000+00:00,2025-04-16T23:57:16.753000+00:00,1,0.8851842513451209,0.78487726358267,1.6700615149277909,0.5300306086945458,0.46996879252547386,180.0,55.0,23.4,45000.0,TeamD_15min_augmented,incubation,incubation
22,2025-04-16T23:57:16.753000+00:00,2025-04-16T23:57:46.753000+00:00,1,0.020350392048175552,0.778577125989474,0.7989275180376496,0.025472106188124,0.97452664213544,210.0,80.0,24.0,45000.0,TeamD_15min_augmented,incubation,incubation
24,2025-04-16T23:58:16.753000+00:00,2025-04-16T23:58:46.753000+00:00,1,0.5887375244727503,0.8757987572596624,1.4645362817324128,0.40199558714977063,0.5980037300407083,250.0,60.0,23.1,45000.0,TeamD_15min_augmented,incubation,incubation
25,2025-04-16T23:58:46.753000+00:00,2025-04-16T23:59:16.753000+00:00,1,0.0,0.5188532700905434,0.5188532700905434,0.0,0.9999980726765536,230.0,52.0,22.5,45000.0,TeamD_15min_augmented,incubation,incubation
27,2025-04-16T23:59:46.753000+00:00,2025-04-17T00:00:16.753000+00:00,1,0.0,0.47236009744497454,0.47236009744497454,0.0,0.9999978829755343,200.0,78.0,22.0,45000.0,TeamD_15min_augmented,incubation,incubation
28,2025-04-17T00:00:16.753000+00:00,2025-04-17T00:00:46.753000+00:00,1,0.0,2.40427407851586,2.40427407851586,0.0,0.9999995840742147,260.0,66.0,21.6,45000.0,TeamD_15min_augmented,incubation,incubation
