window_id,p_divergent,p_convergent,p_incubation,p_conflict,predicted_phase,confidence
0,0.9967986794887257,6.558108225012689e-07,0.0,0.0032006647004518916,divergent,0.9967986794887257
1,0.9076332271018387,0.0006334353718498605,0.0,0.09173333752631156,divergent,0.9076332271018387
2,0.7639135555765499,0.004896800693128921,0.0,0.23118964373032116,divergent,0.7639135555765499
3,0.6213924496807944,0.014870572452585546,0.0,0.36373697786661996,divergent,0.6213924496807944
4,0.4923921225883974,0.031578154841081875,0.0,0.47602972257052084,divergent,0.4923921225883974
5,0.5562407486896203,0.02204934509350131,0.0014915188058615074,0.42021838741101686,divergent,0.5562407486896203
6,0.6159026034246298,0.015407463487844976,0.0,0.36868993308752523,divergent,0.6159026034246298
7,0.5027121938302642,0.02987827922554184,0.0,0.4674095269441939,divergent,0.5027121938302642
8,0.25554526224237073,0.10298500310852574,0.0,0.6414697346491036,conflict,0.6414697346491036
9,0.20904652751442657,0.13112847929128713,0.0,0.6598249931942863,conflict,0.6598249931942863
10,0.13507690847923098,0.20355583655776063,4.9038096175265174e-05,0.6613182168668331,conflict,0.6613182168668331
11,0.0483006949710995,0.4095698623530649,0.0,0.5421294426758356,conflict,0.5421294426758356
12,0.05212805691044941,0.394176042330744,0.0,0.5536959007588065,conflict,0.5536959007588065
13,0.030431003029551016,0.49930696005087266,0.0,0.4702620369195763,convergent,0.49930696005087266
14,0.015144148099989646,0.6185782034513819,0.0,0.3662776484486284,convergent,0.6185782034513819
15,0.01337621400249181,0.6374295861208091,0.0,0.349194199876699,convergent,0.6374295861208091
16,0.010062475002094404,0.6779069287867094,0.0,0.3120305962111961,convergent,0.6779069287867094
17,0.0020206970609577594,0.8414576753767073,0.0,0.15652162756233487,convergent,0.8414576753767073
18,0.00018864163415776945,0.9482046389909912,0.0,0.05160671937485102,convergent,0.9482046389909912
19,0.0,0.9999999999999808,1.8367008635377452e-16,1.8948262277685916e-14,convergent,0.9999999999999808
